$GPGGA,193304.000,3713.9277,N,08025.5282,W,1,06,1.31,609.2,M,-32.8,M,,*51,,,,,
$GPGSA,A,3,24,15,13,29,21,20,,,,,,,2.15,1.31,1.71*0A,,
$GPRMC,193304.000,A,3713.9277,N,08025.5282,W,0.02,187.11,041019,,,A*7E,,,,,,,
$GPVTG,187.11,T,,M,0.02,N,0.03,K,A*32,,,,,,,,,,
$GPGGA,193305.000,3713.9277,N,08025.5282,W,1,06,1.31,609.2,M,-32.8,M,,*50,,,,,
$GPGSA,A,3,24,15,13,29,21,20,,,,,,,2.15,1.31,1.71*0A,,
$GPGSV,2,1,08,21,74,276,34,15,56,045,26,20,51,310,37,24,44,137,36*72
$GPGSV,2,2,08,13,21,045,38,29,11,195,34,05,04,093,32,47,,,*42
$GPRMC,193305.000,A,3713.9277,N,08025.5282,W,0.01,219.41,041019,,,A*7D,,,,,,,
$GPVTG,219.41,T,,M,0.01,N,0.01,K,A*32,,,,,,,,,,
$GPGGA,193306.000,3713.9277,N,08025.5282,W,1,06,1.31,609.2,M,-32.8,M,,*53,,,,,
$GPGSA,A,3,24,15,13,29,21,20,,,,,,,2.15,1.31,1.71*0A,,
$GPRMC,193306.000,A,3713.9277,N,08025.5282,W,0.01,21.94,041019,,,A*4F,,,,,,,
$GPVTG,21.94,T,,M,0.01,N,0.03,K,A*01,,,,,,,,,,
$GPGGA,193307.000,3713.9277,N,08025.5282,W,1,06,1.31,609.2,M,-32.8,M,,*52,,,,,
$GPGSA,A,3,24,15,13,29,21,20,,,,,,,2.15,1.31,1.71*0A,,
$GPRMC,193307.000,A,3713.9277,N,08025.5282,W,0.02,251.55,041019,,,A*75,,,,,,,
$GPVTG,251.55,T,,M,0.02,N,0.04,K,A*3D,,,,,,,,,,
$GPGGA,193308.000,3713.9277,N,08025.5282,W,1,06,1.31,609.2,M,-32.8,M,,*5D,,,,,
$GPGSA,A,3,24,15,13,29,21,20,,,,,,,2.15,1.31,1.71*0A,,
$GPRMC,193308.000,A,3713.9277,N,08025.5282,W,0.03,288.18,041019,,,A*76,,,,,,,
$GPVTG,288.18,T,,M,0.03,N,0.05,K,A*30,,,,,,,,,,
$GPGGA,193309.000,3713.9278,N,08025.5282,W,1,06,1.31,609.2,M,-32.8,M,,*53,,,,,
$GPGSA,A,3,24,15,13,29,21,20,,,,,,,2.15,1.31,1.70*0B,,
$GPRMC,193309.000,A,3713.9278,N,08025.5282,W,0.02,91.10,041019,,,A*4B,,,,,,,
$GPVTG,91.10,T,,M,0.02,N,0.03,K,A*05,,,,,,,,,,
$GPGGA,193310.000,3713.9278,N,08025.5282,W,1,06,1.31,609.2,M,-32.8,M,,*5B,,,,,
$GPGSA,A,3,24,15,13,29,21,20,,,,,,,2.15,1.31,1.70*0B,,
$GPGSV,2,1,08,21,74,276,33,15,56,045,17,20,51,310,37,24,44,137,36*77
$GPGSV,2,2,08,13,21,045,37,29,11,195,34,05,04,093,32,49,,,*43
$GPRMC,193310.000,A,3713.9278,N,08025.5282,W,0.01,217.21,041019,,,A*7E,,,,,,,
$GPVTG,217.21,T,,M,0.01,N,0.02,K,A*39,,,,,,,,,,
$GPGGA,193311.000,3713.9278,N,08025.5282,W,1,06,1.31,609.2,M,-32.8,M,,*5A,,,,,
$GPGSA,A,3,24,15,13,29,21,20,,,,,,,2.15,1.31,1.70*0B,,
$GPRMC,193311.000,A,3713.9278,N,08025.5282,W,0.02,275.49,041019,,,A*76,,,,,,,
$GPVTG,275.49,T,,M,0.02,N,0.03,K,A*31,,,,,,,,,,
$GPGGA,193312.000,3713.9278,N,08025.5282,W,1,06,1.31,609.2,M,-32.8,M,,*59,,,,,
$GPGSA,A,3,24,15,13,29,21,20,,,,,,,2.15,1.31,1.70*0B,,
$GPRMC,193312.000,A,3713.9278,N,08025.5282,W,0.02,172.24,041019,,,A*7A,,,,,,,
$GPVTG,172.24,T,,M,0.02,N,0.03,K,A*3E,,,,,,,,,,
$GPGGA,193313.000,3713.9278,N,08025.5282,W,1,06,1.31,609.2,M,-32.8,M,,*58,,,,,
$GPGSA,A,3,24,15,13,29,21,20,,,,,,,2.15,1.31,1.70*0B,,
$GPRMC,193313.000,A,3713.9278,N,08025.5282,W,0.01,347.25,041019,,,A*7D,,,,,,,
$GPVTG,347.25,T,,M,0.01,N,0.01,K,A*3A,,,,,,,,,,
$GPGGA,193314.000,3713.9278,N,08025.5282,W,1,06,1.31,609.2,M,-32.8,M,,*5F,,,,,
$GPGSA,A,3,24,15,13,29,21,20,,,,,,,2.15,1.31,1.70*0B,,
$GPRMC,193314.000,A,3713.9278,N,08025.5282,W,0.03,288.46,041019,,,A*7F,,,,,,,
$GPVTG,288.46,T,,M,0.03,N,0.06,K,A*38,,,,,,,,,,
$GPGGA,193315.000,3713.9278,N,08025.5282,W,1,06,1.31,609.2,M,-32.8,M,,*5E,,,,,
$GPGSA,A,3,24,15,13,29,21,20,,,,,,,2.15,1.31,1.70*0B,,
$GPGSV,2,1,08,21,74,276,33,15,56,045,25,20,51,310,37,24,44,137,37*77
$GPGSV,2,2,08,13,21,045,37,29,11,195,34,05,04,093,30,37,,,*48
$GPRMC,193315.000,A,3713.9278,N,08025.5282,W,0.01,146.87,041019,,,A*70,,,,,,,
$GPVTG,146.87,T,,M,0.01,N,0.02,K,A*32,,,,,,,,,,
$GPGGA,193316.000,3713.9278,N,08025.5282,W,1,06,1.31,609.2,M,-32.8,M,,*5D,,,,,
$GPGSA,A,3,24,15,13,29,21,20,,,,,,,2.15,1.31,1.70*0B,,
$GPRMC,193316.000,A,3713.9278,N,08025.5282,W,0.02,17.47,041019,,,A*49,,,,,,,
$GPVTG,17.47,T,,M,0.02,N,0.03,K,A*09,,,,,,,,,,
$GPGGA,193317.000,3713.9278,N,08025.5282,W,1,06,1.31,609.2,M,-32.8,M,,*5C,,,,,
$GPGSA,A,3,24,15,13,29,21,20,,,,,,,2.15,1.31,1.70*0B,,
$GPRMC,193317.000,A,3713.9278,N,08025.5282,W,0.73,58.04,041019,,,A*42,,,,,,,
$GPVTG,58.04,T,,M,0.73,N,1.35,K,A*07,,,,,,,,,,
$GPGGA,193318.000,3713.9280,N,08025.5279,W,1,06,1.24,609.3,M,-32.8,M,,*55,,,,,
$GPGSA,A,3,24,15,13,29,21,20,,,,,,,1.51,1.24,0.86*04,,
